# MECHANISMS c104 (M1 corr-pos-d0 [<0=far-first] | M2 waits | M3 sweep [1=perfect] | M4 mean savings)
## reference (cuOpt)
  veh0: M1 +0.76 | M2  1/11 waits (tot   20) | M3 0.56 | M4   59.9
  veh1: M1 +0.44 | M2  0/12 waits (tot    0) | M3 0.80 | M4   46.3
  veh2: M1 -0.47 | M2  0/12 waits (tot    0) | M3 0.50 | M4   59.6
## NS-GP (5 representative seeds: 2 best, median, 2 worst by sigma=0 score)
  seed27 (score 1000): M1 +0.32 | M2  1/34 (tot    9) | M3 0.52 | M4   48.5
  seed28 (score 1000): M1 +0.54 | M2  0/34 (tot    0) | M3 0.53 | M4   56.8
  seed25 (score  960): M1 +0.36 | M2  0/34 (tot    0) | M3 0.52 | M4   57.5
  seed 4 (score  930): M1 +0.66 | M2  2/32 (tot   32) | M3 0.54 | M4   56.9
  seed16 (score  890): M1 +0.84 | M2  0/32 (tot    0) | M3 0.44 | M4   51.9
