# MECHANISMS c105 (M1 corr-pos-d0 [<0=far-first] | M2 waits | M3 sweep [1=perfect] | M4 mean savings)
## reference (cuOpt)
  veh0: M1 -0.60 | M2  0/11 waits (tot    0) | M3 0.67 | M4   51.8
  veh1: M1 -0.34 | M2  1/11 waits (tot    6) | M3 0.44 | M4   47.3
  veh2: M1 -0.25 | M2  0/11 waits (tot    0) | M3 0.22 | M4   31.6
## NS-GP (5 representative seeds: 2 best, median, 2 worst by sigma=0 score)
  seed11 (score  840): M1 -0.42 | M2  2/30 (tot   13) | M3 0.66 | M4   37.3
  seed25 (score  840): M1 -0.35 | M2  1/30 (tot    8) | M3 0.54 | M4   35.7
  seed 5 (score  830): M1 -0.39 | M2  1/30 (tot    1) | M3 0.62 | M4   27.5
  seed 2 (score  780): M1 -0.39 | M2  1/30 (tot   22) | M3 0.42 | M4   36.9
  seed29 (score  690): M1 -0.62 | M2  0/32 (tot    0) | M3 0.60 | M4   47.6
