# MECHANISMS c203 (M1 corr-pos-d0 [<0=far-first] | M2 waits | M3 sweep [1=perfect] | M4 mean savings)
## reference (cuOpt)
  veh0: M1 +0.08 | M2  0/33 waits (tot    0) | M3 0.57 | M4   53.0
  veh1: M1 +0.42 | M2  0/35 waits (tot    0) | M3 0.58 | M4   63.0
  veh2: M1 +0.05 | M2  1/32 waits (tot   11) | M3 0.47 | M4   48.8
## NS-GP (5 representative seeds: 2 best, median, 2 worst by sigma=0 score)
  seed 0 (score 1810): M1 +0.14 | M2  5/100 (tot   14) | M3 0.51 | M4   54.2
  seed 1 (score 1810): M1 +0.18 | M2  4/100 (tot   15) | M3 0.50 | M4   53.2
  seed28 (score 1810): M1 +0.09 | M2  4/100 (tot   16) | M3 0.57 | M4   53.5
  seed12 (score 1720): M1 -0.10 | M2  4/94 (tot  452) | M3 0.46 | M4   48.5
  seed23 (score 1660): M1 +0.22 | M2  6/94 (tot  666) | M3 0.49 | M4   52.5
