# MECHANISMS rc201 (M1 corr-pos-d0 [<0=far-first] | M2 waits | M3 sweep [1=perfect] | M4 mean savings)
## reference (cuOpt)
  veh0: M1 +0.36 | M2  2/32 waits (tot   17) | M3 0.67 | M4   56.1
  veh1: M1 -0.03 | M2  1/33 waits (tot    0) | M3 0.68 | M4   46.6
  veh2: M1 -0.37 | M2  3/30 waits (tot  108) | M3 0.68 | M4   50.1
## NS-GP (5 representative seeds: 2 best, median, 2 worst by sigma=0 score)
  seed 7 (score 1645): M1 -0.01 | M2  3/89 (tot   22) | M3 0.63 | M4   48.1
  seed13 (score 1639): M1 +0.01 | M2  5/89 (tot   57) | M3 0.64 | M4   48.9
  seed18 (score 1619): M1 +0.00 | M2  6/88 (tot   53) | M3 0.67 | M4   47.5
  seed23 (score 1558): M1 -0.09 | M2  2/87 (tot   29) | M3 0.63 | M4   47.8
  seed 1 (score 1535): M1 -0.05 | M2  5/81 (tot   22) | M3 0.69 | M4   46.6
