# MECHANISMS r201 (M1 corr-pos-d0 [<0=far-first] | M2 waits | M3 sweep [1=perfect] | M4 mean savings)
## reference (cuOpt)
  veh0: M1 -0.02 | M2  5/31 waits (tot  136) | M3 0.57 | M4   28.1
  veh1: M1 -0.19 | M2  3/37 waits (tot   72) | M3 0.54 | M4   40.0
  veh2: M1 -0.01 | M2  3/30 waits (tot   82) | M3 0.54 | M4   38.8
## NS-GP (5 representative seeds: 2 best, median, 2 worst by sigma=0 score)
  seed14 (score 1418): M1 -0.08 | M2 10/94 (tot  104) | M3 0.52 | M4   32.1
  seed24 (score 1410): M1 -0.06 | M2 13/95 (tot   72) | M3 0.50 | M4   32.6
  seed23 (score 1378): M1 -0.03 | M2 15/93 (tot  136) | M3 0.49 | M4   31.0
  seed 4 (score 1286): M1 -0.12 | M2 13/89 (tot  130) | M3 0.59 | M4   30.3
  seed 3 (score 1195): M1 -0.12 | M2  3/74 (tot  685) | M3 0.49 | M4   32.3
