# MECHANISMS r104 (M1 corr-pos-d0 [<0=far-first] | M2 waits | M3 sweep [1=perfect] | M4 mean savings)
## reference (cuOpt)
  veh0: M1 -0.81 | M2  0/13 waits (tot    0) | M3 0.55 | M4   36.1
  veh1: M1 +0.04 | M2  0/11 waits (tot    0) | M3 0.78 | M4   40.3
  veh2: M1 -0.52 | M2  1/11 waits (tot    2) | M3 0.67 | M4   40.3
## NS-GP (5 representative seeds: 2 best, median, 2 worst by sigma=0 score)
  seed25 (score  741): M1 +0.24 | M2  1/36 (tot   11) | M3 0.48 | M4   38.8
  seed 0 (score  736): M1 +0.23 | M2  0/35 (tot    0) | M3 0.59 | M4   37.6
  seed14 (score  724): M1 +0.38 | M2  1/32 (tot    3) | M3 0.57 | M4   37.4
  seed12 (score  688): M1 +0.51 | M2  0/33 (tot    0) | M3 0.48 | M4   36.4
  seed23 (score  655): M1 +0.20 | M2  0/29 (tot    0) | M3 0.52 | M4   39.5
