# MECHANISMS r203 (M1 corr-pos-d0 [<0=far-first] | M2 waits | M3 sweep [1=perfect] | M4 mean savings)
## reference (cuOpt)
  veh0: M1 -0.13 | M2  8/34 waits (tot  329) | M3 0.70 | M4   35.1
  veh1: M1 +0.00 | M2  2/30 waits (tot  222) | M3 0.74 | M4   45.1
  veh2: M1 -0.15 | M2  6/36 waits (tot  270) | M3 0.67 | M4   45.2
## NS-GP (5 representative seeds: 2 best, median, 2 worst by sigma=0 score)
  seed 0 (score 1458): M1 +0.04 | M2  6/100 (tot  221) | M3 0.60 | M4   33.4
  seed 1 (score 1458): M1 -0.05 | M2  7/100 (tot  150) | M3 0.63 | M4   33.4
  seed23 (score 1458): M1 -0.09 | M2 11/100 (tot  228) | M3 0.65 | M4   33.0
  seed 9 (score 1458): M1 -0.10 | M2  5/100 (tot  196) | M3 0.62 | M4   34.3
  seed19 (score 1453): M1 +0.13 | M2  9/99 (tot  157) | M3 0.57 | M4   32.7
